Nivel,Genero,Modelo,Nombre del producto,Color,Silo,Categoria,Escala,Bultos,Unidades,Precio estimado,Extension
GD,MEN,CJ0813-003,NIKE VARSITY COMPETE TR 3,LT SMOKE GREY/WHITE-BLACK,LOW TOP,ATHLETIC TRAINING,M2,5,30,38.95,1168.5
GD,MEN,CJ0813-003,NIKE VARSITY COMPETE TR 3,LT SMOKE GREY/WHITE-BLACK,LOW TOP,ATHLETIC TRAINING,M7,5,30,38.95,1168.5
GD,MEN,CJ0813-004,NIKE VARSITY COMPETE TR 3,DK SMOKE GREY/WHITE-BLACK-VOLT,LOW TOP,ATHLETIC TRAINING,M2,5,30,38.95,1168.5
GD,MEN,CJ0813-004,NIKE VARSITY COMPETE TR 3,DK SMOKE GREY/WHITE-BLACK-VOLT,LOW TOP,ATHLETIC TRAINING,M7,5,30,38.95,1168.5
BT,MEN,CJ0861-007,NIKE FREE METCON 3,BLACK/WHITE-VOLT,LOW TOP,ATHLETIC TRAINING,M2,3,18,65.95,1187.1
BT,MEN,CJ0861-007,NIKE FREE METCON 3,BLACK/WHITE-VOLT,LOW TOP,ATHLETIC TRAINING,M7,3,18,65.95,1187.1
BT,MEN,CJ0861-060,NIKE FREE METCON 3,DK SMK GREY/SPRC AR-LSR CRMSN,LOW TOP,ATHLETIC TRAINING,M2,3,18,65.95,1187.1
BT,MEN,CJ0861-060,NIKE FREE METCON 3,DK SMK GREY/SPRC AR-LSR CRMSN,LOW TOP,ATHLETIC TRAINING,M7,3,18,65.95,1187.1
BT,MEN,CJ0887-001,NIKE SB ADVERSARY,BLACK/WHITE-BLACK,LOW TOP,ACTION SPORTS,M5,5,30,42.95,1288.5
BT,MEN,CJ0887-001,NIKE SB ADVERSARY,BLACK/WHITE-BLACK,LOW TOP,ACTION SPORTS,M8,3,18,42.95,773.1
BT,MEN,CJ0887-100,NIKE SB ADVERSARY,WHITE/BLACK-WHITE,LOW TOP,ACTION SPORTS,M5,3,18,42.95,773.1
BT,MEN,CJ0887-100,NIKE SB ADVERSARY,WHITE/BLACK-WHITE,LOW TOP,ACTION SPORTS,M8,1,6,42.95,257.7
BT,MEN,CJ0887-400,NIKE SB ADVERSARY,MID NVY/WHT-MID NVY-UNV RD,LOW TOP,ACTION SPORTS,M5,5,30,42.95,1288.5
BT,MEN,CJ0887-400,NIKE SB ADVERSARY,MID NVY/WHT-MID NVY-UNV RD,LOW TOP,ACTION SPORTS,M8,1,6,42.95,257.7
BT,BOYS,CJ4092-002,AIR FORCE 1 LV8 3 SU20 BG,PHTN DST/PHTN DST-DGTL PNK-WHT,LOW TOP,NIKE KIDS,GS3,6,36,44.95,1618.2
BT,BOYS,CJ4092-002,AIR FORCE 1 LV8 3 SU20 BG,PHTN DST/PHTN DST-DGTL PNK-WHT,LOW TOP,NIKE KIDS,GS9,3,18,44.95,809.1
BT,BOYS,CJ4092-100,AIR FORCE 1 LV8 3 SU20 BG,WHITE/WHITE-BLACK,LOW TOP,NIKE KIDS,GS3,4,24,44.95,1078.8
BT,BOYS,CJ4092-100,AIR FORCE 1 LV8 3 SU20 BG,WHITE/WHITE-BLACK,LOW TOP,NIKE KIDS,GS9,2,12,44.95,539.4
BT,BOYS,CJ4093-001,AIR FORCE 1 LV8 FRESH AIR BG,PR PLTNM/INDG FG-WHT-HYPR CRMS,LOW TOP,NIKE KIDS,GS3,4,24,44.95,1078.8
BT,BOYS,CJ4093-001,AIR FORCE 1 LV8 FRESH AIR BG,PR PLTNM/INDG FG-WHT-HYPR CRMS,LOW TOP,NIKE KIDS,GS9,2,12,44.95,539.4
GD,MEN,CK2090-003,KD TREY 5 VIII,BLACK/WHITE-ARR GREEN-SMK GRY,LOW TOP,BASKETBALL,M5,1,6,49.95,299.7
GD,MEN,CK2090-003,KD TREY 5 VIII,BLACK/WHITE-ARR GREEN-SMK GRY,LOW TOP,BASKETBALL,M8,1,6,49.95,299.7
GD,MEN,CK2090-003,KD TREY 5 VIII,BLACK/WHITE-ARR GREEN-SMK GRY,LOW TOP,BASKETBALL,M9,1,6,49.95,299.7
GD,MEN,CK6357-002,NIKE RENEW RUN,BLK/MTLC SLVR-WHT-DK SMK GRY,LOW TOP,RUNNING,M7,4,24,46.95,1126.8
GD,MEN,CK6357-002,NIKE RENEW RUN,BLK/MTLC SLVR-WHT-DK SMK GRY,LOW TOP,RUNNING,M2,4,24,46.95,1126.8
GD,MEN,CK6357-005,NIKE RENEW RUN,BLACK/WHITE-UNIV RED,LOW TOP,RUNNING,M2,4,24,46.95,1126.8
GD,MEN,CK6357-005,NIKE RENEW RUN,BLACK/WHITE-UNIV RED,LOW TOP,RUNNING,M7,4,24,46.95,1126.8
GD,BOYS,CQ4648-004,REVOLUTION 5 FLYEASE PSV,BLACK/WHITE-WHITE-BLACK,LOW TOP,NIKE KIDS,PE2,10,60,26.95,1617
GD,BOYS,CQ4648-004,REVOLUTION 5 FLYEASE PSV,BLACK/WHITE-WHITE-BLACK,LOW TOP,NIKE KIDS,PE1,10,60,26.95,1617
GD,MEN,CT3509-001,NIKE RENEW RUN SE,BLACK/SMMT WHITE-MD OLV-LMLGHT,LOW TOP,RUNNING,M2,2,12,49.95,599.4
GD,MEN,CT3509-001,NIKE RENEW RUN SE,BLACK/SMMT WHITE-MD OLV-LMLGHT,LOW TOP,RUNNING,M7,2,12,49.95,599.4
BT,MEN,315122-111,AIR FORCE 1 '07 LE,WHITE/WHITE,LOW TOP,NIKE SPORTSWEAR,M2,5,30,50.95,1528.5
BT,MEN,315122-111,AIR FORCE 1 '07 LE,WHITE/WHITE,LOW TOP,NIKE SPORTSWEAR,M7,5,30,50.95,1528.5
BT,WOMEN,AR5339-002,W AF1 SAGE LOW,BLACK/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,6,36,54.95,1978.2
BT,WOMEN,AR5339-002,W AF1 SAGE LOW,BLACK/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,6,36,54.95,1978.2
BT,WOMEN,AR5339-100,W AF1 SAGE LOW,WHITE/WHITE-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,6,36,54.95,1978.2
BT,WOMEN,AR5339-100,W AF1 SAGE LOW,WHITE/WHITE-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,6,36,54.95,1978.2
BT,WOMEN,AR5339-201,W AF1 SAGE LOW,PARTICLE BEIGE/PRTCL BG-PHNTM,LOW TOP,NIKE SPORTSWEAR,W13,6,36,54.95,1978.2
BT,WOMEN,AR5339-201,W AF1 SAGE LOW,PARTICLE BEIGE/PRTCL BG-PHNTM,LOW TOP,NIKE SPORTSWEAR,W2,6,36,54.95,1978.2
BS,MEN,CD4373-006,NIKE REACT VISION,BLACK/WHITE-BLACK,LOW TOP,NIKE SPORTSWEAR,M2,2,12,69.95,839.4
BS,MEN,CD4373-006,NIKE REACT VISION,BLACK/WHITE-BLACK,LOW TOP,NIKE SPORTSWEAR,M7,2,12,69.95,839.4
BS,MEN,CJ0585-003,AIR MAX 720 ,BLACK/WHITE-MTLC SILVER,LOW TOP,NIKE SPORTSWEAR,M5,1,6,97.95,587.7
BS,MEN,CJ0585-003,AIR MAX 720 ,BLACK/WHITE-MTLC SILVER,LOW TOP,NIKE SPORTSWEAR,M8,1,6,97.95,587.7
BS,WOMEN,CJ0620-600,W AIR MAX 270 REACT SE,LT ARCTC PNK/BLK-ORNG PLS-WHT,LOW TOP,NIKE SPORTSWEAR,W1,1,6,84.95,509.7
BS,WOMEN,CJ0620-600,W AIR MAX 270 REACT SE,LT ARCTC PNK/BLK-ORNG PLS-WHT,LOW TOP,NIKE SPORTSWEAR,W2,2,12,84.95,1019.4
BS,WOMEN,CJ0620-600,W AIR MAX 270 REACT SE,LT ARCTC PNK/BLK-ORNG PLS-WHT,LOW TOP,NIKE SPORTSWEAR,W4,1,6,84.95,509.7
BT,WOMEN,CJ0629-102,W AIR MAX 200,SMMT WHT/MTLC SLVR-LT ORWD BRN,LOW TOP,NIKE SPORTSWEAR,W2,2,12,66.95,803.4
BT,WOMEN,CJ0629-102,W AIR MAX 200,SMMT WHT/MTLC SLVR-LT ORWD BRN,LOW TOP,NIKE SPORTSWEAR,W5,1,6,66.95,401.7
BT,WOMEN,CJ0629-102,W AIR MAX 200,SMMT WHT/MTLC SLVR-LT ORWD BRN,LOW TOP,NIKE SPORTSWEAR,W13,1,6,66.95,401.7
BT,WOMEN,CJ0636-500,W NIKE AIR MAX DIA,LT VLT/BLACK-CRMSN TNT-WHITE,LOW TOP,NIKE SPORTSWEAR,W5,1,6,59.95,359.7
BT,WOMEN,CJ0636-500,W NIKE AIR MAX DIA,LT VLT/BLACK-CRMSN TNT-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,1,6,59.95,359.7
BT,WOMEN,CJ0636-500,W NIKE AIR MAX DIA,LT VLT/BLACK-CRMSN TNT-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,2,12,59.95,719.4
BT,MEN,CJ1379-001,AIR FORCE 1 '07 LV8 3SU20,BLACK/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,M5,8,48,54.95,2637.6
BT,MEN,CJ1379-100,AIR FORCE 1 '07 LV8 3SU20,WHITE/WHITE-BLACK,LOW TOP,NIKE SPORTSWEAR,M5,8,48,54.95,2637.6
BT,MEN,CJ1393-002,AIR FORCE 1 '07 3SU20,BLACK/BLACK-LASER CRIMSON,LOW TOP,NIKE SPORTSWEAR,M7,5,30,49.95,1498.5
BT,MEN,CJ1393-002,AIR FORCE 1 '07 3SU20,BLACK/BLACK-LASER CRIMSON,LOW TOP,NIKE SPORTSWEAR,M2,5,30,49.95,1498.5
BT,MEN,CJ1393-003,AIR FORCE 1 '07 3SU20,BLACK/BLACK-BARELY VOLT,LOW TOP,NIKE SPORTSWEAR,M2,5,30,49.95,1498.5
BT,MEN,CJ1393-003,AIR FORCE 1 '07 3SU20,BLACK/BLACK-BARELY VOLT,LOW TOP,NIKE SPORTSWEAR,M7,5,30,49.95,1498.5
BT,WOMEN,CJ1642-002,W AF1 SAGE LOW SUFA20,PLTNM VLT/WHT-PLTNM VLT-PLTNM,LOW TOP,NIKE SPORTSWEAR,W2,4,24,54.95,1318.8
BT,WOMEN,CJ1642-002,W AF1 SAGE LOW SUFA20,PLTNM VLT/WHT-PLTNM VLT-PLTNM,LOW TOP,NIKE SPORTSWEAR,W4,2,12,54.95,659.4
BT,WOMEN,CJ1642-002,W AF1 SAGE LOW SUFA20,PLTNM VLT/WHT-PLTNM VLT-PLTNM,LOW TOP,NIKE SPORTSWEAR,W5,4,24,54.95,1318.8
BT,WOMEN,CJ1642-002,W AF1 SAGE LOW SUFA20,PLTNM VLT/WHT-PLTNM VLT-PLTNM,LOW TOP,NIKE SPORTSWEAR,W1,2,12,54.95,659.4
BT,WOMEN,CJ1646-100,WMNS AIR FORCE 1 '07 ESS SUF20,WHITE/WHITE-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,4,24,49.95,1198.8
BT,WOMEN,CJ1646-100,WMNS AIR FORCE 1 '07 ESS SUF20,WHITE/WHITE-WHITE,LOW TOP,NIKE SPORTSWEAR,W5,2,12,49.95,599.4
BT,WOMEN,CJ1646-100,WMNS AIR FORCE 1 '07 ESS SUF20,WHITE/WHITE-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,2,12,49.95,599.4
BT,WOMEN,CJ1646-600,WMNS AIR FORCE 1 '07 ESS SUF20,BARELY ROSE/BARELY ROSE-WHITE,LOW TOP,NIKE SPORTSWEAR,W5,2,12,49.95,599.4
BT,WOMEN,CJ1646-600,WMNS AIR FORCE 1 '07 ESS SUF20,BARELY ROSE/BARELY ROSE-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,2,12,49.95,599.4
BT,WOMEN,CJ1646-600,WMNS AIR FORCE 1 '07 ESS SUF20,BARELY ROSE/BARELY ROSE-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,4,24,49.95,1198.8
BT,MEN,CK4392-001,AIR FORCE 1 '07 JEWEL PRM,BLACK/BLACK-SAFETY ORANGE-SAIL,LOW TOP,NIKE SPORTSWEAR,M2,3,18,69.95,1259.1
BT,MEN,CK4392-001,AIR FORCE 1 '07 JEWEL PRM,BLACK/BLACK-SAFETY ORANGE-SAIL,LOW TOP,NIKE SPORTSWEAR,M7,3,18,69.95,1259.1
BS,MEN,CT1020-100,AIR FORCE 1 REACT ,WHT/LT SMK GRY-UNV RD-UNV GLD,LOW TOP,NIKE SPORTSWEAR,M7,2,12,66.95,803.4
BS,MEN,CT1020-100,AIR FORCE 1 REACT ,WHT/LT SMK GRY-UNV RD-UNV GLD,LOW TOP,NIKE SPORTSWEAR,M2,2,12,66.95,803.4
BT,MEN,CT1262-100,AIR MAX 200,WHT/MTLC PWTR-DK SMK GRY-BLK,LOW TOP,NIKE SPORTSWEAR,M2,3,18,66.95,1205.1
BT,MEN,CT1262-100,AIR MAX 200,WHT/MTLC PWTR-DK SMK GRY-BLK,LOW TOP,NIKE SPORTSWEAR,M7,3,18,66.95,1205.1
BT,MEN,CT1262-103,AIR MAX 200,WHT/UNV BL-MID NVY-UNV GLD,LOW TOP,NIKE SPORTSWEAR,M7,3,18,66.95,1205.1
BT,MEN,CT1262-103,AIR MAX 200,WHT/UNV BL-MID NVY-UNV GLD,LOW TOP,NIKE SPORTSWEAR,M2,3,18,66.95,1205.1
BS,MEN,CT1264-101,AIR MAX 270 REACT,WHITE/BLACK-MTLC PEWTER,LOW TOP,NIKE SPORTSWEAR,M5,2,12,85.95,1031.4
BS,MEN,CT1264-101,AIR MAX 270 REACT,WHITE/BLACK-MTLC PEWTER,LOW TOP,NIKE SPORTSWEAR,M8,2,12,85.95,1031.4
BS,WOMEN,CW2537-500,W NIKE AIR MAX 720 PRNT,LT VLT/GV IC-CRMSN TNT-PNK TNT,LOW TOP,NIKE SPORTSWEAR,W5,1,6,97.95,587.7
BS,WOMEN,CW2537-500,W NIKE AIR MAX 720 PRNT,LT VLT/GV IC-CRMSN TNT-PNK TNT,LOW TOP,NIKE SPORTSWEAR,W2,1,6,97.95,587.7
BS,MEN,CW7474-001,NIKE AIR MAX 270 REACT FOA,BLACK/PSTCH FROST-SLVR PN-VLT,LOW TOP,NIKE SPORTSWEAR,M2,2,12,54.95,659.4
BS,MEN,CW7474-001,NIKE AIR MAX 270 REACT FOA,BLACK/PSTCH FROST-SLVR PN-VLT,LOW TOP,NIKE SPORTSWEAR,M7,2,12,54.95,659.4
